Num;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious Critical;Total Cases per 1M pop;Deaths per 1M pop;Total Tests;Tests per 1M pop;Population 
0;Europe;3543710,0;10493,0;207347,0;149,0;2063335,0;1273028,0;5619,0;;;;;
1;Russia;990326,0;498,0;17093,0;68,0;806982,0;166251,0;23,0;6786,0;117,0;36400000,0;249409,0;145944843,0
2;Spain;455621,0;;29011,0;;N/A;N/A;751,0;9744,0;620,0;8517446,0;182161,0;46757783,0
3;UK;332752,0;;41498,0;;N/A;N/A;60,0;4897,0;611,0;16273209,0;239508,0;67944393,0
4;France;272530,0;;30602,0;;86177,0;155751,0;387,0;4174,0;469,0;6175223,0;94571,0;65297356,0
5;Italy;266853,0;;35473,0;;208224,0;23156,0;79,0;4415,0;587,0;8509618,0;140778,0;60447003,0
6;Germany;242825,0;;9363,0;;217484,0;15978,0;245,0;2897,0;112,0;11208091,0;133703,0;83828051,0
7;Ukraine;119074,0;2096,0;2527,0;35,0;56734,0;59813,0;177,0;2725,0;58,0;1536171,0;35161,0;43689434,0
8;Romania;86785,0;952,0;3578,0;39,0;37665,0;45542,0;492,0;4516,0;186,0;1795633,0;93445,0;19216003,0
9;Belgium;84599,0;647,0;9891,0;5,0;18403,0;56305,0;72,0;7294,0;853,0;2261043,0;194953,0;11597901,0
10;Sweden;83958,0;;5821,0;;N/A;N/A;21,0;8305,0;576,0;1094856,0;108299,0;10109546,0
11;Belarus;71523,0;;671,0;;70207,0;645;;757,0;71,0;1517128,0;160563,0;9448806,0
12;Netherlands;69632,0;;6224,0;;N/A;N/A;38,0;4062,0;363,0;1455274,0;849,0;17141131,0
13;Poland;6687,0;631,0;2033,0;1,0;46192,0;18645,0;85,0;1767,0;54,0;2660665,0;70314,0;37839707,0
14;Portugal;57448,0;;1818,0;;41766,0;13864,0;40,0;5637,0;178,0;1976482,0;19393,0;10191733,0
15;Switzerland;42014,0;292,0;2005,0;;352,0;4809,0;18,0;4849,0;231,0;1010948,0;116671,0;8664924,0
16;Moldova;36404,0;;990,0;;25139,0;10275,0;575,0;9028,0;246,0;207925,0;51564,0;4032396,0
17;Serbia;31282,0;;710,0;;29825,0;747;40,0;3583,0;81,0;920852,0;105464,0;8731464,0
18;Ireland;2872,0;;1777,0;;23364,0;3579,0;5,0;5806,0;359,0;824712,0;166721,0;4946665,0
19;Austria;27166,0;181,0;733,0;;2307,0;3363,0;30,0;3013,0;81,0;1172092,0;130019,0;9014800,0
20;Czechia;24094,0;;421,0;;17541,0;6132,0;32,0;2249,0;39,0;89114,0;83189,0;10712264,0
21;Bosnia and Herzegovina;1955,0;;594,0;;12858,0;6098,0;;5965,0;181,0;183974,0;56135,0;3277374,0
22;Denmark;16779,0;;624,0;;14989,0;1166,0;4,0;2895,0;108,0;2400103,0;414128,0;5795557,0
23;Bulgaria;16164,0;;605,0;;11253,0;4306,0;61,0;2329,0;87,0;403213,0;58103,0;6939586,0
24;North Macedonia;14293,0;;596,0;;11014,0;2683,0;3,0;6861,0;286,0;147002,0;7056,0;2083360,0
25;Norway;10611,0;;264,0;;9348,0;999;1,0;1955,0;49,0;686202,0;126416,0;5428131,0
26;Croatia;10123,0;262,0;184,0;1,0;7212,0;2727,0;13,0;2468,0;45,0;166638,0;40634,0;4100994,0
27;Greece;9977,0;;260,0;;3804,0;5913,0;36,0;958,0;25,0;931002,0;89395,0;10414489,0
28;Albania;9279,0;;275,0;;502,0;3984,0;19,0;3225,0;96,0;56815,0;19746,0;2877274,0
29;Finland;8077,0;28,0;335,0;;72,0;542;1,0;1457,0;60,0;637159,0;114966,0;5542144,0
30;Luxembourg;6625,0;;124,0;;714,0;-639;2,0;10556,0;198,0;633773,0;1009847,0;627593,0
31;Hungary;5961,0;292,0;614,0;;3759,0;1588,0;7,0;617,0;64,0;42427,0;43937,0;9656250,0
32;Montenegro;4727,0;;93,0;;3839,0;795;;7526,0;148,0;4803,0;76471,0;628079,0
33;Slovakia;3876,0;34,0;33,0;;2278,0;1565,0;11,0;710,0;6,0;334344,0;61234,0;5460081,0
34;Lithuania;2874,0;35,0;86,0;;1837,0;951;5,0;1058,0;32,0;637509,0;234745,0;2715752,0
35;Slovenia;2865,0;31,0;133,0;;2283,0;449;2,0;1378,0;64,0;158236,0;76112,0;2078985,0
36;Estonia;2373,0;10,0;64,0;;2088,0;221;;1789,0;48,0;147902,0;111483,0;1326683,0
37;Iceland;21,0;;10,0;;1979,0;111;;6147,0;29,0;212169,0;621096,0;341604,0
38;Malta;1847,0;;11,0;;1244,0;592;;4181,0;25,0;186644,0;422523,0;441737,0
39;Latvia;1393,0;12,0;34,0;;1163,0;196;1,0;740,0;18,0;250709,0;133169,0;1882635,0
40;Andorra;1124,0;;53,0;;902;169;3,0;14544,0;686,0;137457,0;1778573,0;77285,0
41;San Marino;710;;42,0;;658;10;;20917,0;1237,0;6678,0;196742,0;33943,0
42;Channel Islands;625;;48,0;;545;32;;3589,0;276,0;68985,0;396188,0;174122,0
43;Faeroe Islands;411;;;;362;49;2,0;8406,0;;92895,0;1899926,0;48894,0
44;Isle of Man;336;;24,0;;312;0;;3948,0;282,0;984,0;115619,0;85107,0
45;Gibraltar;285;10,0;;;228;57;;846,0;;34102,0;1012259,0;33689,0
46;Monaco;130;;1,0;;89;40;1,0;3309,0;25,0;51953,0;1322397,0;39287,0
47;Liechtenstein;107;;1,0;;97;9;;2805,0;26,0;900;23594,0;38146,0
48;Vatican City;12;;;;12;0;;14981,0;;;;801
